WorkloadId,Status,Instance,Region,Mode,Created,Completed,QPU,Usage (seconds),User,Tags,Account
d557477p3tbc73ao2ka0,completed,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:ed0704ac-ad7d-4366-9bcc-4217fb64abd1::,us-east,job,2025-12-23T10:42:36.238Z,2025-12-23T10:43:24.807Z,ibm_torino,28,John Kerfoot,"NQCC-Q4, CQAVQE_DW4_exact, shots:4096, Resilience Test, Resilience=2, 30 copies",d4f95db0515b47b7ba61dba8a424f873
d5573qrht8fs73a0jc20,completed,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:ed0704ac-ad7d-4366-9bcc-4217fb64abd1::,us-east,job,2025-12-23T10:41:47.417Z,2025-12-23T10:42:35.040Z,ibm_torino,28,John Kerfoot,"NQCC-Q4, CQAVQE_DW4_exact, shots:4096, Resilience Test, Resilience=2, 30 copies",d4f95db0515b47b7ba61dba8a424f873
d5573enp3tbc73ao2jig,completed,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:ed0704ac-ad7d-4366-9bcc-4217fb64abd1::,us-east,job,2025-12-23T10:40:58.506Z,2025-12-23T10:41:46.530Z,ibm_torino,28,John Kerfoot,"NQCC-Q4, CQAVQE_DW4_exact, shots:4096, Resilience Test, Resilience=2, 30 copies",d4f95db0515b47b7ba61dba8a424f873
d557328nsj9s73b2h8hg,completed,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:ed0704ac-ad7d-4366-9bcc-4217fb64abd1::,us-east,job,2025-12-23T10:40:09.931Z,2025-12-23T10:40:57.355Z,ibm_torino,29,John Kerfoot,"NQCC-Q4, CQAVQE_DW4_exact, shots:4096, Resilience Test, Resilience=2, 30 copies",d4f95db0515b47b7ba61dba8a424f873
d5572lonsj9s73b2h850,completed,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:ed0704ac-ad7d-4366-9bcc-4217fb64abd1::,us-east,job,2025-12-23T10:39:19.773Z,2025-12-23T10:40:06.919Z,ibm_torino,29,John Kerfoot,"NQCC-Q4, CQAVQE_DW4_exact, shots:4096, Resilience Test, Resilience=2, 30 copies",d4f95db0515b47b7ba61dba8a424f873
d55729hsmlfc739gf9b0,completed,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:ed0704ac-ad7d-4366-9bcc-4217fb64abd1::,us-east,job,2025-12-23T10:38:30.708Z,2025-12-23T10:39:18.728Z,ibm_torino,29,John Kerfoot,"NQCC-Q4, CQAVQE_DW4_exact, shots:4096, Resilience Test, Resilience=2, 30 copies",d4f95db0515b47b7ba61dba8a424f873
d5571tbht8fs73a0jaag,completed,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:ed0704ac-ad7d-4366-9bcc-4217fb64abd1::,us-east,job,2025-12-23T10:37:41.784Z,2025-12-23T10:38:29.510Z,ibm_torino,28,John Kerfoot,"NQCC-Q4, CQAVQE_DW4_exact, shots:4096, Resilience Test, Resilience=2, 30 copies",d4f95db0515b47b7ba61dba8a424f873
d5571fgnsj9s73b2h710,completed,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:ed0704ac-ad7d-4366-9bcc-4217fb64abd1::,us-east,job,2025-12-23T10:36:46.850Z,2025-12-23T10:37:40.506Z,ibm_torino,29,John Kerfoot,"NQCC-Q4, CQAVQE_DW4_exact, shots:4096, Resilience Test, Resilience=2, 30 copies",d4f95db0515b47b7ba61dba8a424f873
d55713jht8fs73a0j9h0,completed,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:ed0704ac-ad7d-4366-9bcc-4217fb64abd1::,us-east,job,2025-12-23T10:35:58.707Z,2025-12-23T10:36:45.803Z,ibm_torino,28,John Kerfoot,"NQCC-Q4, CQAVQE_DW4_exact, shots:4096, Resilience Test, Resilience=2, 30 copies",d4f95db0515b47b7ba61dba8a424f873
d5570nfp3tbc73ao2h20,completed,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:ed0704ac-ad7d-4366-9bcc-4217fb64abd1::,us-east,job,2025-12-23T10:35:09.949Z,2025-12-23T10:35:57.312Z,ibm_torino,29,John Kerfoot,"NQCC-Q4, CQAVQE_DW4_exact, shots:4096, Resilience Test, Resilience=2, 30 copies",d4f95db0515b47b7ba61dba8a424f873
d5570bbht8fs73a0j8rg,completed,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:ed0704ac-ad7d-4366-9bcc-4217fb64abd1::,us-east,job,2025-12-23T10:34:21.061Z,2025-12-23T10:35:08.996Z,ibm_torino,29,John Kerfoot,"NQCC-Q4, CQAVQE_DW4_exact, shots:4096, Resilience Test, Resilience=2, 30 copies",d4f95db0515b47b7ba61dba8a424f873
d556vtjht8fs73a0j8fg,completed,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:ed0704ac-ad7d-4366-9bcc-4217fb64abd1::,us-east,job,2025-12-23T10:33:26.965Z,2025-12-23T10:34:19.872Z,ibm_torino,29,John Kerfoot,"NQCC-Q4, CQAVQE_DW4_exact, shots:4096, Resilience Test, Resilience=2, 30 copies",d4f95db0515b47b7ba61dba8a424f873
d556vg3ht8fs73a0j7vg,completed,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:ed0704ac-ad7d-4366-9bcc-4217fb64abd1::,us-east,job,2025-12-23T10:32:32.167Z,2025-12-23T10:33:25.857Z,ibm_torino,29,John Kerfoot,"NQCC-Q4, CQAVQE_DW4_exact, shots:4096, Resilience Test, Resilience=2, 30 copies",d4f95db0515b47b7ba61dba8a424f873
d556v18nsj9s73b2h4n0,completed,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:ed0704ac-ad7d-4366-9bcc-4217fb64abd1::,us-east,job,2025-12-23T10:31:33.255Z,2025-12-23T10:32:31.332Z,ibm_torino,28,John Kerfoot,"NQCC-Q4, CQAVQE_DW4_exact, shots:4096, Resilience Test, Resilience=2, 30 copies",d4f95db0515b47b7ba61dba8a424f873
d556tkgnsj9s73b2h3e0,completed,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:ed0704ac-ad7d-4366-9bcc-4217fb64abd1::,us-east,job,2025-12-23T10:28:34.935Z,2025-12-23T10:31:32.205Z,ibm_torino,28,John Kerfoot,"NQCC-Q4, CQAVQE_DW4_exact, shots:4096, Resilience Test, Resilience=2, 30 copies",d4f95db0515b47b7ba61dba8a424f873
d556r4onsj9s73b2h15g,completed,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:ed0704ac-ad7d-4366-9bcc-4217fb64abd1::,us-east,job,2025-12-23T10:23:15.445Z,2025-12-23T10:28:33.761Z,ibm_torino,29,John Kerfoot,"NQCC-Q4, CQAVQE_DW4_exact, shots:4096, Resilience Test, Resilience=2, 30 copies",d4f95db0515b47b7ba61dba8a424f873
d556nd0nsj9s73b2gtkg,completed,crn:v1:bluemix:public:quantum-computing:us-east:a/d4f95db0515b47b7ba61dba8a424f873:ed0704ac-ad7d-4366-9bcc-4217fb64abd1::,us-east,job,2025-12-23T10:15:16.323Z,2025-12-23T10:23:14.407Z,ibm_torino,28,John Kerfoot,"NQCC-Q4, CQAVQE_DW4_exact, shots:4096, Resilience Test, Resilience=2, 30 copies",d4f95db0515b47b7ba61dba8a424f873
